 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	68435145.59	77230353.61	49231103.89	45209627.55	22642172.84	28877920.96	34618129.74	10917363.55	27837178.16	11024503.33	7721955.12	1449731.14	15252257.53	12350825.0
B	66869900.32	74049287.38	56126632.43	51521442.75	71552374.71	63041265.25	53116661.08	19072181.13	39884760.41	24294961.78	16907979.09	2307770.35	14895848.42	2314886.25
C	68458732.66	64040471.07	55691659.06	42677967.19	35133907.43	39760929.11	108854412.98	22432637.55	41116934.61	30039931.03	27333449.51	15715252.68	15510533.62	1678979.39
D	53052321.73	51598210.89	44378715.54	57884509.14	25521463.6	36499024.19	52686244.94	14105306.02	34898854.17	19110796.16	18795491.02	16521831.77	3902793.61	6128144.31
E	53582030.38	53566003.99	41304763.71	59941064.28	16927475.85	55201628.12	36292471.5	9155849.67	35791662.01	30071881.21	19888568.3	11986092.18	14876112.11	49879530.54
F	55591817.61	53132362.74	48742893.35	54783542.95	18145395.68	43711660.96	23242518.61	11636443.81	32103244.27	33107839.52	20906809.8	3444427.14	17737869.45	30192862.66
G	68187361.53	69076946.88	63996688.07	61829895.09	36709156.99	33518475.5	38066337.96	16306673.36	38701581.82	24420975.19	18979797.26	2702578.28	17809952.28	4065693.03
H	66145505.46	84023012.15	63358178.46	72057609.29	60216611.63	81838965.91	51732520.31	19800870.25	37411240.29	27896601.04	21345752.35	5230284.62	15835946.2	2847853.75
I	89619017.62	98280425.33	81130993.11	62628636.54	95775535.48	48679747.39	66476641.55	16650383.13	42635645.53	15862637.08	13438787.77	5717058.46	15035077.74	4029533.62
J	76895463.22	86186534.68	65795698.81	53459362.14	68207223.96	32125825.77	46098104.48	14310544.19	33163805.89	20252486.19	13477610.03	16300849.56	16372132.45	3197831.8
K	71851439.5	72163243.15	59877860.33	59999876.76	83597567.79	37411481.56	36469206.72	23270704.19	43115184.26	26204649.28	19795851.03	16613634.94	18510947.94	3776980.25
L	73651953.88	90450522.38	67744334.43	45337957.86	34520537.69	56569445.37	55911345.39	93723609.21	38494625.16	35732324.45	40258547.25	24100067.09	2821657.51	15021378.58
M	161822134.65	257602376.91	141102901.53	169339046.64	141278322.15	92564701.41	121880507.46	42525639.94	36214631.37	30338316.09	22534460.93	16586991.11	9644966.63	11695383.71
N	66455013.82	75742314.42	55511138.11	44045355.96	49016618.14	39178989.61	69917754.31	46797592.29	39833484.66	35706914.9	38881745.67	12426430.57	3667280.53	13450079.8
O	55778267.86	64211800.31	56894809.67	41240512.43	66178010.92	74691662.26	51681788.17	48668261.66	43803868.46	28312016.09	34809844.26	13816623.88	38038841.33	12827429.97
P	53896375.02	56181403.71	56117197.49	41467462.57	90777141.58	37416581.93	48575766.76	105227739.94	31804942.31	33672305.48	44269189.88	11023415.55	2160850.68	3074339.63
Q	57069735.15	55297230.04	45837613.72	44201873.27	85817151.84	41513069.1	63114450.1	143058922.23	38062894.29	26391231.99	37930030.88	3716783.55	1459929.29	1665505.58
R	51672375.28	56610996.68	50791128.45	56887599.28	49897561.48	56736620.46	66745132.02	108389689.12	36262495.36	27696502.13	31662535.7	4247819.77	14274020.15	2876523.78
S	65073924.73	54913965.93	63013036.63	58966749.12	49132187.56	57608313.23	63118901.1	42645521.49	44025301.96	33305014.11	24874726.41	4398284.32	3893954.62	2859172.87
T	65195755.88	59381236.76	69145584.56	69141978.31	32875154.39	64347511.21	51195107.86	24643780.18	51688643.99	29637485.06	20466916.4	5225254.04	19412337.49	5784524.43
U	76405327.15	73959877.85	60700644.29	58671738.08	28562691.58	59257791.47	36056428.46	26337862.66	50302040.3	33268425.32	26075544.3	14557504.47	26601741.66	15026151.47
V	77292512.06	86248932.15	63381016.6	74021385.11	34842939.58	129408977.0	50522139.98	29828759.48	44753438.41	31986707.81	21669022.16	21012562.21	67338034.14	11681854.55
W	100757523.15	88572879.12	72420850.19	74797720.93	29520563.43	81767065.88	24636138.98	22304273.09	73293444.78	31493996.31	20399326.06	18155415.28	3772331.1	5258623.36
X	83675453.5	93835816.82	83696275.64	100942249.31	42461416.53	12718531.95	63274996.9	39974708.8	66517173.67	33825159.86	25509191.95	20062884.03	18617919.85	3732685.99
