 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	4286780.24	3722811.01	1606115.60	3491579.53	3707677.38	2959442.80	3272945.99	3482091.19	2462687.60	3347792.15	1422421.26	739097.55	679646.49
B	3705042.90	3072137.85	1712722.53	3151061.29	3346023.91	3175060.04	3639275.61	3057358.74	2429275.66	3027352.00	1495272.95	783514.96	2442187.60
C	2539078.55	2081049.00	1482775.86	2134578.82	2376436.62	1996632.23	2613742.58	2419197.55	1624628.20	2080535.64	1442724.06	911954.58	1953005.48
D	2771742.03	2889796.00	1546306.54	2491016.12	2884205.12	2643484.57	2852511.83	2508599.02	1840877.43	2042563.33	1700507.78	3295010.15	2282041.70
E	2649421.57	2464852.96	1283667.57	2226344.56	2629770.93	2344852.97	2928846.04	2856317.66	1943182.82	2783500.62	3347447.55	2686488.69	2629401.19
F	3034788.36	2667384.39	1540197.19	2197989.88	2694109.49	2656629.71	3185687.68	2886700.33	2051944.75	2634538.31	2757251.09	3823411.49	2344515.69
G	3442954.76	2863784.42	1606175.35	2710992.27	3238841.01	2817250.40	3693743.91	3625288.04	2225799.44	3198290.45	3576978.06	4088424.79	3082039.63
H	2969499.05	2771093.29	1725869.31	2250215.20	2762872.34	2911482.78	3472014.74	3354972.70	2474224.13	3083480.21	3752985.23	3517596.68	2389629.14
I	4526949.76	3723414.84	2133018.33	3384137.05	3479361.17	3149496.11	3979629.35	4031513.36	2719384.17	4226226.77	3885615.63	4376132.57	1328580.16
J	4829174.63	3918573.68	2064963.64	3586847.96	3266127.19	3037795.00	4050225.57	4036711.33	2955681.74	3810004.07	4320217.58	4322415.11	2459629.39
K	3481239.11	2951988.47	1514979.80	2609259.24	2654117.50	2709531.91	3474567.95	3466327.69	2443796.08	3879452.52	2914745.57	1997130.58	2170890.25
L	5787969.38	4670784.52	1882180.72	3320253.74	3550733.31	4597098.98	4589256.76	5547892.83	2701314.27	6921465.64	1924795.20	4372671.95	4484531.36
M	3445315.31	3395734.30	1963846.94	3368965.15	2995053.28	2841636.66	3896583.32	3884704.97	2525893.12	3396505.39	3593854.51	4366429.96	964984.45
N	3155960.98	3059726.49	1532241.36	2436444.54	2146585.69	2503983.84	3541675.83	3067773.91	2198869.81	2884920.17	3779080.23	1330218.60	512668.43
O	2930393.68	2702472.66	1400837.90	2164746.19	2303778.63	2034034.32	2542557.58	2724874.42	2113322.48	2790457.27	2916342.88	1959259.27	735606.07
P	3077861.36	2536679.15	1519805.48	2460115.46	2293848.11	2169649.69	2593588.59	2567082.42	2077171.62	2676922.41	2087100.01	1583402.81	697828.59
Q	3075144.04	2560209.13	1307058.11	2545751.79	2134824.12	2129798.68	2000667.32	2236787.93	1777646.10	2435571.17	3177613.70	2123357.27	672038.30
R	3148416.77	2720079.04	1429335.65	2529864.90	2050481.43	2186660.28	2203259.20	2361125.19	1739440.75	2364596.56	2900503.92	2306120.72	1083125.90
S	2820043.05	2864027.67	1538237.70	2637987.90	2472207.92	2330466.93	2629005.36	2650616.24	2087352.78	2832358.40	3033121.76	2420098.03	1956715.33
T	3369497.59	3199792.58	1717078.21	2322868.58	2736631.32	2145717.03	2596541.27	3302117.74	2253880.51	2987162.84	2998947.84	2403118.96	1210074.04
U	4662987.69	3553046.27	2162009.21	3948488.49	3549222.89	3170567.10	3322158.74	3358565.27	2341849.20	3508931.06	2699278.74	2461147.06	1191718.22
V	3348701.17	3025206.40	1446311.15	2585009.04	2678229.14	2465788.67	2483021.00	2882157.92	1733887.00	2907161.86	1697159.75	1213269.71	988611.80
W	3748805.14	3509191.13	1845340.30	2905147.92	2771790.40	2374777.89	2869572.83	3043474.22	2350973.14	3036705.12	3445395.61	2098886.32	875120.28
X	3946031.80	3619916.16	2247904.93	2870004.12	3486774.31	2742968.43	3482582.57	3761679.40	2909041.84	3469232.32	3583552.04	2690055.40	947805.45
