 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	4133268.27	4054744.0	2769975.47	2631615.4	1842042.75	2490307.75	3430941.4	3685765.4	3463331.92	11089487.88	8187285.69	3498054.75	7416398.76	4017326.91
B	3276193.57	3373406.1	2725145.46	3439303.76	2350532.07	2983677.54	2691444.14	2687043.74	2809181.52	8704578.39	7564075.97	3562376.82	6669072.79	3136199.04
C	2712986.1	2986160.5	3879460.31	2607781.36	1613786.72	1126587.53	1615398.87	1410082.76	1401653.61	6947443.55	7205848.96	7462180.42	7029368.23	11912909.11
D	2175426.63	1710627.33	2297604.6	1858357.67	851347.38	662875.98	886446.4	962365.3	1011217.97	5246608.22	5902787.45	6877173.46	6594309.66	9254108.34
E	1883733.8	2514634.35	2196410.04	2248012.9	4158947.81	855961.0	1090667.67	1686588.0	1342268.25	5758390.97	6993513.24	5602983.16	7230103.25	9823935.62
F	2335945.0	2206660.05	2381898.83	1846826.77	3980766.88	1012183.54	1325472.29	1396834.77	1446650.76	6878939.68	11813693.97	5276579.92	5418357.31	8595252.49
G	2695150.99	2543966.44	3182548.11	3198026.76	4836424.83	1914062.72	3230733.15	3106751.01	2842761.86	10130441.51	7529798.2	8511350.86	8310770.66	2790458.0
H	2824770.7	3074986.51	2618471.25	3305836.76	4190198.46	2304257.75	3703566.16	4207078.68	3655066.47	10261913.02	10968700.72	6580503.86	6893778.88	2946137.36
I	4236816.77	4142850.21	3448823.52	4380013.22	2313480.57	3799718.35	10546817.47	8861220.71	6640463.58	23549699.64	23930247.9	8220777.82	6038327.47	2067124.65
J	4250211.02	4038160.95	3157239.77	3110818.51	2159516.95	2766237.27	6944087.47	6244563.66	4751513.64	20996423.86	18364681.39	9341238.17	7112870.96	2364307.02
K	3425315.57	3461214.19	3627839.92	3685982.68	3175742.18	1760814.78	3923340.49	4536882.25	3829065.7	12379431.93	12063051.0	7895876.89	7204801.07	2142529.35
L	5118549.25	4221323.02	4411463.62	3490705.36	1952248.43	2421432.17	5269693.12	3310986.38	4888743.06	12885733.29	12307328.39	8675183.04	2811071.72	2467767.28
M	7132578.71	5322695.98	5273060.42	5376645.33	3335682.28	2766432.84	5961050.65	4925740.87	5366675.94	13750754.11	20169682.1	5624369.11	5772107.08	1946791.21
N	3821490.66	3492553.92	3612622.94	3130489.36	2148009.88	1813608.52	3691577.56	3816873.25	3876357.15	12415207.68	11033821.69	5210030.84	3196527.38	2338886.48
O	2753148.86	2834350.71	2509621.9	2314311.56	1863747.66	2822279.08	2502495.01	2786602.86	4237080.08	11297805.43	10612603.2	4376491.15	5375823.13	2862204.49
P	3706214.44	3154575.56	2774639.51	2525307.88	1606971.3	2438285.24	2462443.99	3783239.15	4271052.69	12062543.03	11562339.24	4033376.54	2980790.02	3896948.94
Q	3350539.86	2970591.53	2938181.06	3228668.26	1926264.93	6967911.93	2953278.86	3449433.03	3626443.81	9473243.26	10526084.27	3984225.98	3748515.91	4069228.51
R	3429381.0	3148913.67	3368633.14	3123085.92	2360904.97	8894300.48	2785908.46	3099949.75	3757642.09	9884274.96	9346093.94	6255551.57	9217847.96	5522735.0
S	2824268.19	2441260.53	2685106.73	2866933.69	3215472.15	3398969.77	3618583.55	3455145.9	3308850.51	11498812.4	11179199.71	6353179.86	7572296.31	5618644.15
T	3346189.21	3048857.82	3448259.76	3446237.77	7236382.46	3453732.29	4818739.4	3619833.41	3875995.86	12100211.05	13256506.04	25957542.29	9093430.02	7541747.72
U	5643157.99	5104626.21	4230716.34	4611080.7	5260097.53	3757423.64	5352460.03	5053282.08	5246816.52	13692428.42	11731142.59	9103736.27	13543486.88	7293515.12
V	4096366.0	3847563.62	3116632.21	3431580.31	6009998.27	5376134.13	3089232.79	2921883.45	3807824.34	10869664.07	10437503.83	11408867.34	7609358.81	8143249.72
W	4723455.97	4984588.07	4312819.9	4209689.39	3695127.32	1867457.62	3257269.4	3373321.01	4289316.11	9428297.32	10429532.06	11808955.78	7985510.39	4946337.69
X	4140159.4	3699426.23	4076306.15	2910622.56	3815581.02	1713820.65	2929714.05	3143370.45	4663142.82	12620414.93	12674250.71	15193254.91	8489739.61	3164667.59
