 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	7529014.82	6416684.13	4473474.67	4260546.97	2919785.0	2859338.38	3377306.06	2797464.31	4587680.94	5245113.11	5403155.37	2913624.17	7628387.2	9676066.59
B	7244759.58	7346348.39	5394406.1	6256053.58	5075441.71	5139053.51	6137662.36	4051626.35	5742775.23	8454182.68	7232237.88	2943099.13	6034231.2	3314444.67
C	8405716.25	7866646.93	7622742.51	7523144.35	13547291.76	11470000.84	52699432.49	7363036.32	11215400.1	12839197.39	13800181.74	7675299.33	6999800.81	3504383.56
D	7146497.37	7223295.77	6144387.18	7630866.11	12624446.87	10652522.37	18991069.14	5275293.23	7850969.04	10942733.52	9655332.41	8558029.47	4206784.16	8314186.26
E	7969749.07	8886885.31	10157047.78	9720540.37	9290982.69	21212943.18	14616173.09	4188109.08	9726994.66	12473093.38	10062076.71	8127451.38	5977688.68	13986776.66
F	8725982.67	9267407.31	9097821.4	8738051.78	14470957.05	8049513.66	13114039.35	4299760.4	7340654.52	11388263.55	9411178.78	4500296.56	6956233.28	14409924.77
G	7871733.94	6489446.12	6807692.46	7231281.74	9607984.78	3682377.07	6955192.46	3988621.2	5646324.69	8730837.97	10689110.38	4114250.47	3996780.84	3076370.39
H	7445518.38	7538839.54	5688372.47	7392467.35	3900451.43	6268063.18	5102349.28	4068990.94	5813837.93	7944899.62	8838182.14	3796858.12	7938322.05	2928755.49
I	7678802.99	6039386.02	4902831.72	5863351.01	3391195.59	3103135.64	3989429.85	3383328.2	4886912.36	7035977.22	7477585.53	3806016.79	6709062.59	3141152.66
J	7559113.03	6057350.51	4484383.05	5698349.17	3135910.82	2904066.82	3370842.5	3018634.52	4340319.93	6486163.02	6909574.3	5425642.67	7659473.26	2902105.93
K	7514639.33	6282386.26	6597270.84	5975495.44	4110100.67	3874554.21	4981811.96	4789105.04	6810710.91	9041181.87	8484763.13	5645322.37	7546699.56	2907082.57
L	8916806.76	8172515.21	9887251.45	5456648.18	4387161.77	5824877.33	9444798.79	8317497.71	11233431.58	10871165.56	13034877.64	8644253.09	3573191.18	2875021.57
M	9536965.34	11468561.28	15774045.46	11805911.6	7691725.04	6062287.58	9863252.93	9377811.14	6526208.24	13252492.32	12228318.69	7351273.73	23754466.27	3270684.75
N	8437591.71	8402754.12	9364172.43	5375274.34	5409405.83	4484899.62	7289105.61	6987007.08	6238150.41	12131575.11	12322000.12	7691399.98	5725634.1	3035905.27
O	7917248.23	6534065.33	6428940.26	5366442.05	4905408.36	6505263.3	5499157.57	6480085.7	5902077.94	9085338.75	9126034.78	9030270.28	17612684.14	3026497.12
P	8074608.89	7326390.14	7370139.76	7292838.86	8868294.16	4803441.53	5300683.77	7744479.55	5494875.66	9749826.01	11722305.97	7089272.68	3486319.85	4563176.58
Q	7685160.41	6969215.13	8484623.99	6430001.18	10512508.17	5931610.42	6093148.51	11534652.23	5314447.4	8755926.31	9094237.37	4772813.62	3041162.13	4209552.81
R	7198423.57	6233354.3	7247617.33	6562366.05	6596655.38	8492858.3	6378049.68	9149755.54	5372610.81	8510706.97	9939913.56	3669237.24	7089833.37	5634273.05
S	6695129.6	5902309.67	14110263.58	5758873.9	5718597.18	4545086.85	5022661.04	4214534.34	5636229.06	8929251.08	8750888.33	3363597.89	3061235.25	4076143.62
T	7215418.14	6656583.89	6425694.37	7612287.79	4209286.68	4649255.44	4839907.64	3938592.23	5734694.17	9155764.5	7525257.81	4937699.52	3226324.26	3880117.48
U	7576404.49	8614176.55	7701375.75	7287534.44	5370702.12	6612565.58	6374130.94	6853894.31	6745965.49	12164789.37	9103490.85	5728877.0	3281744.98	5628586.65
V	7911545.05	7463982.42	5767124.29	7622341.14	4355399.51	8082384.88	4715281.88	4781218.34	5254864.87	9475603.12	7197039.1	8117529.43	7417512.0	5629363.32
W	7984950.46	8045369.93	6077580.92	6412849.96	3260990.56	5016794.09	3604842.43	3996875.52	6338797.83	10639186.03	8518357.1	13708780.84	8741667.27	4924128.26
X	8260304.49	8104346.03	7099536.54	9800946.21	3917671.11	3126351.4	4841332.71	8630529.98	8009784.92	13929217.96	11244033.74	10654349.56	3691380.38	3999520.54
