 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	522167769.63	485469713.78	355145414.01	351444380.06	238909793.76	160388966.26	428112508.44	373158439.69	433607829.32	452200300.79	438985290.2	74392741.95	409461719.34	256940830.23
B	498077504.3	504596034.11	455270938.78	451263953.78	765517150.61	491914179.18	459050824.88	480475949.26	466866546.35	487460992.15	483050821.88	66756953.09	296033437.19	115995821.06
C	475319732.65	531097569.61	413150721.92	411349878.49	476532038.64	347040245.93	302199234.32	201903250.67	342843351.61	357546862.63	400458845.21	318658282.14	491618658.39	428028157.83
D	411833534.16	375080627.21	339721443.19	298653778.78	305649571.24	112669097.22	171088055.18	100360841.91	204722540.43	298114361.69	381661656.23	300931549.16	382739638.34	423910358.77
E	384889045.04	551650060.99	355897383.68	410080088.91	313631138.13	164352157.76	261850482.38	184621985.97	344356024.0	413834617.49	469042405.23	240827757.9	439915425.84	535491110.33
F	420341121.04	382673867.83	366901116.15	378514021.98	401621363.36	94615318.75	210221544.07	209027895.11	297564969.37	409447321.97	533839575.89	167136331.62	398988902.46	483275018.79
G	481959072.44	401685388.6	451394915.48	501766716.13	308879155.41	191990617.9	449953403.85	385481986.08	365697748.97	504281067.95	444132197.65	98551688.65	344114402.92	29873763.57
H	456592369.12	445011806.01	369000239.9	420194065.76	269253568.27	330542279.01	393140100.53	377285522.83	428601287.45	467937841.71	497755325.58	113236834.79	433736405.13	34333139.78
I	451341344.32	437583012.65	351905344.39	454305153.28	201807479.09	294970017.89	555769560.61	463976373.18	487739172.68	612206525.85	622597739.08	280970357.66	461502260.49	26029243.76
J	440861236.57	373405641.64	360872583.13	401216937.69	180628389.28	184622081.0	474818706.6	314664951.65	462786934.62	567290386.98	566369493.57	374954889.62	471013714.89	32804209.62
K	425364699.39	393633982.64	390472035.74	455644236.36	385161536.1	441835874.82	304494644.95	417825411.6	427856949.76	515414741.1	580290313.41	377363056.45	523610429.49	30170199.9
L	513057127.64	498431455.5	375745102.38	422515577.4	282346920.18	466274458.18	439955438.13	388668787.86	378080551.49	516761528.63	608048764.61	467392100.41	66175912.29	27117716.11
M	762791875.18	718317266.71	602547768.76	680335518.4	875120798.15	794588381.53	693828469.42	551516081.13	418263855.14	784559462.4	741844261.57	310442790.55	577507567.38	26697140.22
N	461051975.25	514716569.77	384450186.04	391185765.66	392370047.16	492289529.9	384066604.72	457778598.89	391030262.15	527153798.55	598423015.36	243980751.34	112858674.16	27164777.09
O	425183673.45	420301856.21	369806024.56	359972886.4	307768166.35	541315470.52	374458502.35	517493511.47	436830253.61	506515884.76	557106310.06	210830368.73	343467968.15	33860791.79
P	479874748.6	450100895.28	378454799.61	449600190.79	330459586.99	537062581.52	340871606.19	495601192.9	335335643.37	524760869.84	517681476.49	210618495.85	38573732.95	150639174.63
Q	435752012.16	477661150.04	338578615.8	444808881.99	332647341.83	608136985.75	321024756.16	660236437.04	339140844.7	492740644.43	481411634.76	160332853.34	45705764.16	122307809.37
R	387900575.45	341717153.47	362195688.98	412598832.96	299216714.3	483548718.74	302708985.88	453731998.91	319754924.11	454392919.44	529151461.22	110017264.7	429753685.52	126659219.42
S	340804929.6	317108401.2	347941483.39	399958862.14	290664782.76	328381366.87	371727701.05	397852303.05	326784371.25	519130700.03	549041639.55	166233574.92	322837898.19	129475020.84
T	403452262.15	322977581.74	374176675.56	413527842.21	309028343.96	258627264.23	391413879.86	371159514.7	356707461.47	529223415.78	580331634.67	503005873.52	500529252.36	351588259.65
U	417265488.29	418170501.33	349269407.73	433626768.94	323995809.25	334354418.77	320266881.73	444735009.88	381328997.96	561461469.78	514857453.81	393553408.95	602220563.35	460912531.92
V	447358793.92	476919836.74	361431601.1	382705582.6	350727321.82	347627519.25	340374239.37	301704292.44	340237051.96	512923584.57	502952007.91	413950582.13	418640126.64	226995999.78
W	537983304.92	538618877.97	390907802.57	480344580.49	347385653.63	218163176.18	319409509.35	332915362.59	391899328.2	568958940.96	509425564.83	475756455.89	468366610.59	151614611.66
X	483540053.67	475925216.51	440938479.25	374209688.66	372093327.12	129268565.64	383595411.72	295141397.06	282128411.31	630028597.86	536657417.32	393703818.57	521400497.34	70068835.95
