 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	15389601.54	14688359.65	3561234.74	12323425.62	14419551.60	11796595.85	9695423.31	10505553.40	7078656.66	9271273.93	10507324.86	3908398.58	3269066.90
B	16208894.42	14549060.55	4897043.87	11771389.07	16490707.17	12421867.28	13955515.50	13071988.13	11528282.87	15751532.57	10043592.87	5318559.57	13056660.29
C	19040753.67	15964285.53	5881170.50	13555358.26	17651391.95	15028973.90	19574709.79	15687535.60	12921994.50	20890641.58	8255597.38	5665511.17	9554685.15
D	21284174.27	17845840.34	9736235.52	14912508.25	23045288.92	17909762.61	27998907.18	21780295.19	18959897.06	16063527.63	8170492.20	11572933.72	12621259.37
E	17414092.29	15048638.82	5740164.14	13812684.60	16490184.19	14163552.70	19941005.60	24018631.32	15892400.11	19438096.23	16347971.88	10666579.97	14208193.25
F	19525173.20	17167074.07	8592771.52	14398520.37	18552452.57	16241708.43	26426081.67	20763672.45	17699424.18	19582712.26	12237841.06	14760409.53	15418476.42
G	15963217.10	13709003.93	7781796.85	15145969.49	21689837.45	20297397.19	21521534.68	18734863.67	14395075.53	15484940.19	16593188.31	15134849.39	13670779.07
H	15417671.74	13779691.83	8508550.95	13820290.41	21308052.05	18918286.54	23450115.70	19123623.76	15890062.03	17684013.26	21674136.79	16817323.76	13178296.36
I	14824015.32	14349469.68	5945220.47	13641430.63	17965178.05	15962985.10	16167594.97	14255944.81	10209604.46	11673698.71	16689947.29	17958265.55	3106797.82
J	15234645.12	12777548.76	8553408.36	11568446.68	18340290.47	14241867.10	15728261.98	12511497.99	10848363.16	11375020.62	17672014.51	17506223.78	10384384.61
K	16480559.28	13292548.60	5321713.29	11380817.51	16935639.35	13599303.83	16773424.11	16030696.73	13898543.19	15045602.53	15608447.13	6135507.92	16212111.61
L	17642579.85	18518725.84	7182656.09	14309269.47	18303039.31	18930024.22	21245183.34	23698627.15	13837514.92	21145183.74	7126412.35	15794498.48	8539511.52
M	15024310.54	15724486.77	7593531.03	11066120.13	12544720.81	12169145.68	18463569.94	16580800.91	18100043.27	14994038.28	18156328.43	14492367.16	9211344.25
N	13927741.57	12715749.67	5980174.22	10910562.37	11673402.84	10237067.23	15995387.00	15221200.58	12524194.88	14742835.86	21354650.42	11925759.95	9453190.25
O	12065456.67	11114088.82	4878018.60	9935969.26	12103861.20	9464904.99	12859120.47	14357770.46	11566551.40	14166624.21	14652310.41	16854542.67	6583355.49
P	12329163.40	11184472.28	6780498.59	13677829.19	13282838.89	10871899.44	13394436.45	12860047.30	13795067.51	15015699.65	12354148.07	11328942.34	1934422.94
Q	11532691.21	9996069.19	3891728.26	8166279.31	10562881.59	7744835.88	9051470.48	10510257.85	8407829.94	10571571.53	16425173.92	17207622.63	2280043.66
R	10157895.43	9049459.62	4422342.24	8138439.22	8697873.41	7792448.81	9351966.41	9723108.71	8102681.92	10287012.20	18442593.95	18039938.53	2060269.11
S	14654031.09	11822236.70	7085413.99	13035614.53	15339415.57	11067092.63	13219638.66	14426352.57	10471623.01	13036363.98	17121301.97	17173280.90	3304508.88
T	14392052.53	11901302.13	8153489.27	14976405.31	18845436.80	14706963.48	13960799.49	15790217.05	12430215.97	12989738.53	17075062.12	17022266.13	3267241.53
U	14482362.58	12611396.32	5513753.44	12884230.95	11935412.82	10820695.42	11692421.72	12532305.40	8262645.97	10657795.79	16497797.53	12525314.54	3317499.73
V	13000912.31	12801667.43	5488632.50	10090026.21	13084288.25	10182653.13	9281686.48	11953571.44	8768907.26	8625841.80	9308011.11	8767451.35	3037127.78
W	16463378.18	16084156.33	8618804.02	15516785.91	18836594.99	13779299.26	15538571.57	16450455.15	11937959.34	15342622.33	15274587.36	13077861.32	1987579.36
X	16623234.70	14876299.42	11954591.33	15255561.36	20515294.76	15627890.78	18266701.63	17532518.61	13384095.29	14003175.35	13535308.98	15446233.69	1802981.94
