 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	95749237.72	76740207.26	66534973.74	61106639.62	28495442.86	42256420.54	63587428.89	33660877.72	85122190.34	6351427.73	5624435.09	811352.77	6891901.59	1909133.42
B	101698962.67	101440599.06	100295157.46	95817309.26	97411165.94	96321380.08	92756649.91	52271421.76	99326507.89	5950480.63	4982404.41	850872.02	4181397.16	789597.78
C	163770980.26	173617698.6	199798309.09	167681371.3	339495501.62	175409856.25	174067438.87	30800194.51	95522974.44	6408503.17	5162389.71	4586824.84	7042420.09	941541.57
D	146963349.9	158557748.44	179154748.97	123584864.71	116431228.1	74099244.34	157696895.6	25622972.56	46990773.77	4424103.16	4299990.61	4524780.52	2189272.46	1441958.29
E	121184434.63	176653931.65	186689941.46	153098336.49	110341235.22	53683675.9	103597341.47	20594215.06	75476761.7	5422281.52	5955370.99	4767639.49	4964728.45	5962489.16
F	142878092.89	155829192.96	159878372.68	133122189.38	131589516.91	30594495.47	77869071.66	29220446.18	79529816.3	5300733.93	6587805.43	1878011.61	4138663.55	5624559.56
G	125583101.49	107838829.18	124864417.26	121267776.55	91489037.01	44674627.03	91302041.01	43265209.86	78104319.47	7118531.24	5450637.87	1515659.18	4258860.21	1617440.21
H	104160471.83	122669621.96	107145678.53	120693244.59	70668600.39	90597709.89	91702280.63	44062087.44	89431298.07	6779908.95	5152205.2	1562119.63	5575193.23	1793358.45
I	111984730.14	108897712.71	81861020.15	90341986.41	39584858.3	61323538.81	91012070.85	64881898.76	103403712.9	7209506.95	7159503.92	2368609.05	5984869.19	2052936.24
J	120020945.47	94465502.01	79817658.08	70496193.94	40097306.07	55975913.45	70033365.08	43804729.77	86113698.75	5230917.0	5477145.12	5021412.86	5645611.78	2369458.4
K	121416059.36	107010726.32	102905665.26	101874842.11	112606378.06	146316159.03	84697363.45	64011068.04	93488550.48	8188181.13	8032165.23	6043046.37	7009038.41	2704856.07
L	128032419.56	128183363.47	100487756.34	71210098.94	54177264.92	89418042.84	149132346.86	80083946.63	108007925.31	17636409.14	12952535.64	7641518.86	1051927.48	6547271.93
M	167431598.79	184597448.17	129712895.93	155595034.17	240003385.11	217616293.46	124197516.74	83369916.83	81064789.79	19537368.52	10124909.58	6508349.48	3019931.82	5316829.53
N	114047626.67	114134406.22	88506144.55	64699440.37	86239526.08	160074254.0	95585493.4	154805860.94	92761060.52	16678489.57	9715706.65	3892780.39	1129184.22	5146019.33
O	99121062.0	101409239.31	80894226.46	80416999.25	67760551.76	94029550.29	89339693.5	105638513.51	74113591.99	8328084.21	9455326.82	3629580.77	2744587.71	6501184.78
P	99256249.72	93927764.37	74761389.82	91344676.43	86240996.45	95441132.79	100521455.55	131524327.04	67772227.86	7989680.23	7732606.67	4098353.78	903558.7	2452883.74
Q	101543724.51	104570950.85	74421390.28	92862782.56	151182097.03	143658116.0	82886511.74	180766343.09	67049376.85	6961737.63	8555271.79	1495939.64	955487.44	1484114.57
R	93130950.77	90841064.79	80044799.07	95873889.01	111280474.86	132666141.19	89122102.97	122680949.74	71213004.61	6805368.87	6869161.28	1327930.9	6684389.16	2032076.98
S	115094386.74	97830514.55	108472826.36	113928400.44	77341922.01	67204561.19	82224147.99	52620140.81	71386259.98	8361895.46	6663275.95	1241969.99	1505387.54	2059135.29
T	114889258.81	109466707.4	115607957.02	119982696.93	52267050.09	52283363.06	76741360.69	39499461.28	81278497.24	7931057.9	6402751.21	3254564.13	3942283.85	5266635.5
U	96040854.93	100013585.62	91505673.84	90488402.88	54311487.8	59450157.28	67347290.25	40710542.44	65005102.87	13128516.95	9204824.86	5708430.64	5766489.27	7854555.38
V	117521367.7	128477925.44	108934437.09	118029765.34	64921281.98	61855108.9	71300178.17	43021969.74	74835777.2	8865814.26	6447821.61	10965495.75	8399573.94	5184710.05
W	142134799.14	137060594.21	116377262.18	124997544.75	42299915.6	31209803.54	42282685.96	39452093.19	84647296.18	10137463.98	7881093.94	10694709.03	9679773.03	3104103.1
X	132387717.48	131299866.85	112844528.34	133147462.41	71722227.37	39888233.98	80694515.31	81697525.99	78757616.05	12979552.23	8850579.99	11854469.38	7369514.03	2258896.59
