 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	16439468.64	13907892.17	16607401.81	8586237.99	4756462.8	5474092.88	8059912.62	3719694.37	9369959.28	2324117.87	1756770.38	447269.23	2151879.98	2934680.12
B	20791674.57	20306864.78	18321550.72	14489697.65	23764854.9	32491768.21	14811106.24	7981946.24	14546302.83	4515417.99	3463144.91	616631.84	1432240.72	766969.12
C	35277798.38	53257273.44	33946882.23	27128474.95	53377604.09	39213811.74	86934899.24	12343984.26	15296810.75	7642676.29	6451625.84	2726013.46	2737871.28	1379915.95
D	20599252.47	19325816.59	21408648.72	12525131.45	11537774.39	14999444.82	23102806.02	6859605.57	12623298.7	4297817.27	3659176.74	2627503.3	1175803.89	2516586.28
E	23449602.36	37333841.6	47203780.64	15234921.78	20154361.45	10417831.89	18037358.03	5952114.97	15246864.09	4419959.13	3315235.08	2276636.76	2337108.57	4665396.53
F	21801901.09	24406586.12	20479363.6	12038866.76	11027530.59	5895207.8	17025182.77	6671429.7	12193660.46	3889802.33	3150186.84	1272874.69	1853520.79	4651230.19
G	17151416.63	13247443.25	14286650.77	12179770.62	7677888.96	4428055.3	13177802.32	6002079.05	9840257.75	4541174.39	4617489.05	1872743.46	1724892.37	709710.98
H	17025608.57	20162900.57	12236709.31	15145538.95	7803982.1	12088425.69	9788742.54	7159851.78	11156420.02	4449646.14	4772830.77	1833376.41	2111872.14	386185.94
I	14903269.73	14241748.46	15474929.95	11734016.57	4618265.11	6407815.27	9370862.48	5419865.96	9664662.33	3344700.49	3008250.44	1740279.73	2795523.33	644481.5
J	15180230.87	15269107.63	13740981.73	10486671.85	5334998.81	4892657.57	7499539.21	4584611.32	9165297.74	3188572.35	3135802.42	3519881.27	2674381.19	515613.71
K	20158621.3	16335885.31	13293279.01	10882856.28	13569106.72	12595663.91	11304782.35	10620619.18	13693671.29	5264957.56	4593639.86	4128419.9	3836196.96	800290.12
L	24803750.84	19008033.55	13614608.65	9157297.28	13074043.14	33009771.29	23491604.0	29648801.29	15079146.54	4815760.46	6621590.2	4731836.71	916214.0	1106306.34
M	39484451.54	43285082.82	35417103.25	30018674.25	31441288.02	24226155.77	26927036.27	26725872.16	11016213.19	6874873.7	8270207.55	4344741.79	7857867.06	1408607.47
N	27771589.58	21046176.81	12527309.05	8815174.25	15560246.76	16049653.46	16804573.41	23660815.14	12342858.76	4987085.76	8793993.47	2861865.24	1466262.49	1311680.92
O	20508365.32	16266648.86	13194047.96	8883343.77	10177950.05	13413983.65	10384091.88	11925800.54	11877268.57	4369174.53	4435905.19	2378851.62	1891933.03	962122.89
P	21651042.16	16168587.79	12101127.38	12112737.46	13995785.22	13830825.64	13376088.54	12612289.38	8390003.15	4738001.64	6646892.66	2193539.94	466805.67	642427.61
Q	21283346.91	17156986.36	12263501.12	18133593.47	27563804.68	20903588.87	13268752.55	24042395.91	8540691.78	4052703.53	5022129.75	1161879.05	464181.64	528935.24
R	16865273.64	14627378.24	12188868.79	28751839.44	18631367.69	20490302.81	12711735.11	18832488.63	9352168.58	3584309.73	4323282.89	1075161.21	2636130.49	751967.33
S	18203917.49	13428205.6	14558438.69	18530245.66	10462651.07	9827099.87	10255078.37	8120612.58	9887917.26	4992070.31	5158761.31	869694.48	671033.77	649905.86
T	19132984.45	15529386.67	15183746.45	23402334.59	6022181.48	9628388.77	12095473.71	8647539.72	9766735.66	5334737.01	4170314.9	3966576.75	3865177.28	1047785.6
U	24243600.69	22266664.67	15327476.15	15753058.21	11965739.87	20414439.44	10541170.48	10355647.95	12677953.83	6043531.95	5123218.55	2332120.46	1712568.58	1754507.55
V	21361279.51	21730020.0	13501686.07	21343868.26	9210940.21	17228716.79	10825614.5	8578996.15	11033011.37	6167852.75	4402920.2	5092618.51	5077550.4	2103666.58
W	23353415.25	23029297.76	14508803.67	17044996.42	4090805.48	6307267.52	6000465.23	7634529.92	13153726.9	5295192.14	4744606.29	5893043.15	4761393.47	1526598.49
X	20582281.82	19288109.58	14969019.92	32520323.26	4463587.05	2819274.41	7295892.29	12069557.0	12099245.71	6503109.8	5024585.37	7577501.92	1313617.34	1443218.64
