 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	306007762.45	278056306.35	208194374.29	201509997.0	78036374.5	61809638.59	218333266.37	117520654.53	224072731.78	252993315.12	217526653.28	30194767.69	234660912.98	125563138.96
B	240569987.28	241168445.98	213660913.04	214026093.96	311765858.09	188049719.34	224229153.01	174362462.03	225015642.46	235309211.68	221949996.33	35596210.26	173157841.8	26596913.99
C	270232641.29	275946295.6	386574076.78	201628571.37	271244077.77	198878110.95	284218600.85	92242894.49	119793016.91	168068733.18	187336323.15	178882095.54	249395817.12	75803551.12
D	206564277.82	217198117.95	214113045.3	156174228.68	163171475.88	79686804.5	203579686.31	78766829.78	121649953.21	163901792.77	178242294.79	181631861.63	153372593.38	128992066.18
E	202717949.83	248150094.75	299396626.75	191228722.12	223448613.76	70588025.13	191718806.75	127687687.8	170000019.96	211457843.66	212037847.95	172320903.96	243904278.58	217817488.53
F	218074201.19	228848360.86	217519175.93	186957347.0	240493688.61	52068049.77	142684817.66	141485549.91	177999649.03	222188969.85	260783129.33	86061480.6	147517358.89	231495769.81
G	248661446.55	193299173.3	238697893.95	259025922.97	239041242.35	87104807.24	237752385.78	173707815.5	220386509.96	293545996.54	207858171.62	40122020.78	153083659.81	24441616.65
H	247228753.05	260812318.89	201542996.42	272673089.65	186186450.7	179725017.18	218352893.27	203213328.45	248696188.67	283831140.73	238237806.23	62068577.17	269577044.52	29723318.69
I	335360694.42	293988531.17	272544616.03	328970817.35	124938904.08	172790297.33	268731866.22	164197251.37	275041314.55	348233303.79	300547015.95	106610706.77	271939461.34	20348223.4
J	313138155.12	282676417.77	232091744.34	281085560.08	121882744.08	106863822.29	184478791.72	116867036.6	229286742.12	316460435.69	270678191.05	239189424.58	254022087.82	31221212.77
K	245119932.13	225696636.58	232514721.75	225390023.86	259675089.33	232995611.45	185044900.31	234474471.62	224776499.88	308333431.2	263087804.56	314621924.98	302562614.8	23114165.97
L	207918455.73	198541985.88	183756018.24	144334422.69	199011252.28	282443897.02	270013762.34	313970560.7	226408987.42	221291609.74	243971169.36	268557267.12	43991682.81	26851710.41
M	469393671.62	429564909.23	388613875.73	370483670.6	485580246.79	466432233.31	365084076.94	293056825.44	196817835.22	350115988.43	293286304.97	193202098.78	357052425.64	22213310.32
N	214622977.72	198090837.09	195240325.38	134858994.15	189489277.75	253940622.3	217039074.27	224538811.71	233952280.36	227949673.75	269314769.45	140843826.84	68368967.15	29784226.98
O	206200570.89	209475380.67	160748528.28	153850826.94	141259959.85	218489179.64	195756780.19	240454648.68	207607560.7	262488569.49	244430272.5	129834451.87	204575717.0	22685601.81
P	205629792.01	199791361.18	156359126.71	166050759.04	208202338.31	239589306.04	209547673.6	219535283.4	169711742.86	205193057.8	277880493.26	128295489.0	22739384.87	92288066.77
Q	185371631.82	168421928.69	126589007.73	145661046.26	271719753.64	270256085.45	157558881.5	257330741.7	149289595.2	206497421.71	221697410.5	106194753.12	24760482.34	60400694.4
R	182333684.42	165282075.42	135019995.37	152989663.08	208100645.03	241351535.79	181608020.66	231858497.42	158499257.78	171433966.81	194691039.47	43123105.83	201337614.58	65930892.52
S	210360626.68	170415358.63	216743624.15	223894369.39	182862532.06	160265863.28	198302754.2	193249588.9	178839955.85	257003646.9	253714748.74	72447796.99	59748173.75	63212880.0
T	223954943.91	200334843.16	228699876.64	268611726.61	129259872.91	151066372.72	190589149.52	177553788.13	181668802.76	270533096.33	245339390.19	202151176.06	179320320.67	110443565.55
U	185883797.73	209548414.85	188733769.3	215660766.33	150247127.96	176313194.58	172761302.6	227017955.07	190075480.54	241006397.69	227298120.18	183040688.05	189228321.82	206811278.3
V	247798935.86	243299581.08	179140998.66	209001682.65	160801245.73	162589706.18	172373293.16	169681262.98	175784670.42	249165302.85	250644307.5	236998229.01	242856786.6	160039618.06
W	290158577.31	286479881.23	246677148.68	289026482.77	92881813.38	91893342.0	126471208.22	176772041.3	214649452.36	388967480.1	279744927.22	321836326.46	346242107.22	85186253.19
X	259223861.69	275665529.12	240022494.55	256525517.37	166511511.07	83902525.33	189549172.24	248002961.0	239039959.75	416595265.89	335668534.67	255897830.23	251603861.95	45315542.21
