 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	15990031.29	14564831.44	8348966.67	8256320.24	2011291.60	1101496.27	5331126.66	4586802.26	10171054.98	12804291.11	4959433.34	809672.57	552635.27
B	17366989.72	15095276.30	11257971.98	12063727.01	9426987.08	9037175.57	9646079.35	7686132.92	12314938.45	12086183.39	5371648.45	1524153.00	11772203.61
C	14582501.53	14282136.38	16486721.54	17148011.86	14247431.01	15721357.77	19733254.64	6155052.27	6450144.29	7780309.21	9625493.58	2582274.79	11791992.02
D	14525051.95	17310013.99	18044955.96	19963316.21	15320318.27	49540556.10	26112534.61	4844908.41	6712754.69	5576943.30	11355185.86	11941884.38	7083220.87
E	19303348.91	23080786.45	30144290.69	28350639.21	6863805.25	31899256.13	13541968.75	4111193.76	8636482.26	8695959.40	12625284.14	12173506.96	11286366.23
F	19239889.95	27407348.57	24743908.61	28716233.04	5610408.73	34828448.76	12044875.49	4869581.11	10089104.20	9127604.05	9793407.28	8092590.18	6682612.21
G	15550467.62	17689493.18	16755322.16	17753345.46	5278275.20	6790263.60	15316957.76	14804360.75	11414381.81	13842587.14	9173931.25	10090925.61	6040208.82
H	16951519.22	18046943.51	15911232.15	16953289.64	4249207.05	12332347.94	13709750.74	11167951.59	10187532.06	13525392.47	8232362.71	5378093.98	14994190.06
I	13801811.55	12979119.93	8578588.64	8621427.84	2234025.04	2609654.05	13483739.35	12055000.12	12263905.02	15174111.74	4956758.03	3486838.42	11394413.22
J	15131034.35	13684896.62	8441507.42	9881346.88	2813918.23	2202991.17	10014381.13	7449380.84	10681890.97	13233645.26	5959593.11	12543755.57	14022500.16
K	15165719.13	13460884.24	13370893.69	11381663.36	6401282.46	7728858.16	12726554.29	16433957.81	11604287.35	13848622.55	8599068.82	10565286.84	12942584.43
L	9759033.55	9177949.67	10328994.70	6314601.15	3814366.43	10437307.12	12527732.86	19561550.10	9742898.27	16377678.41	7694330.05	11767972.74	1431045.98
M	14488249.95	23326849.03	25443577.83	21270741.42	11190288.45	10142975.25	18529995.92	24966301.23	16445020.02	17599251.77	12442798.87	10743477.70	4198250.40
N	12535682.47	10991926.48	11887535.24	7684182.21	8295166.07	5833250.05	13415898.37	18166894.73	11119259.58	15887345.61	13028806.45	5642151.33	991698.02
O	10562760.97	11498460.27	8016437.55	8578744.90	11596217.72	9925873.93	9304614.40	14797924.71	10483364.48	11060887.92	11690429.29	6582423.06	2982157.98
P	10556635.03	8636272.36	7159676.80	8938143.79	20252920.30	5582880.03	8534984.31	13320439.33	9548008.92	11325418.64	8232823.72	6435497.17	575664.65
Q	11431289.47	9697979.49	7416981.38	7349876.33	31246946.98	12352722.02	9232422.19	10812968.40	9043994.57	9552108.10	9581396.82	3519070.86	927486.17
R	11269824.42	11005955.41	7651580.33	8893660.74	11971780.67	19796986.82	11941469.34	10722382.12	9031323.53	9850790.74	7977387.33	7408704.32	10146344.92
S	11792246.65	13732431.03	12437972.11	12411331.78	7840947.61	17497139.05	19360949.14	9631533.98	11777483.30	12595810.34	4078637.96	10919808.18	1612493.97
T	13120028.99	13537994.06	13343668.91	15187781.19	4758934.07	15370781.22	16641274.77	12766212.54	10489224.32	11261974.10	2213280.90	3613681.13	2888917.02
U	13740910.74	12899889.05	12933977.47	11282390.80	5075722.07	15038735.16	10864912.39	9590867.12	9861003.87	10866946.22	6969750.96	16004214.16	7607379.19
V	15639669.53	15594944.70	13379815.39	14728340.61	4221853.91	19828215.95	13515710.76	10360262.97	9053139.02	9864161.33	7204047.23	14813513.59	24227729.49
W	18596987.87	20252603.81	15206149.98	19201642.24	3138527.34	16072786.30	8560405.93	11181991.51	12791657.17	14376405.96	12791677.46	15003766.37	5850266.17
X	18332961.49	18732938.24	15539143.18	24821007.18	4391820.49	3200831.46	11015218.48	10817591.62	17665816.21	15449200.73	12248214.84	18103013.40	12690449.17
