 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	8068625.91	7216109.4	5854121.83	4301902.45	2237359.3	2369188.08	3846603.18	1649086.09	5494524.92	6963132.04	4020198.59	621749.18	194449.73
B	8591256.22	8024226.97	7732077.92	8065774.19	13974313.24	7376305.88	7035403.03	2843426.0	6110597.03	7333088.7	6031701.57	1108739.77	447582.68
C	15316070.79	18310933.0	15868775.02	11888553.41	27196502.3	20241875.91	18363879.16	3110730.54	5999301.08	7233253.09	6371216.4	5047394.18	5637953.09
D	12328870.23	11816925.39	15446623.23	15600839.05	14420133.18	7380790.88	9789267.89	1608347.01	2749708.65	5601323.47	5325166.35	5159477.43	2811157.72
E	10164367.23	13724552.27	15634744.87	11777488.74	8952582.24	5212608.18	5796958.17	1493906.64	3999733.39	8077919.42	6608482.19	3503233.85	5725941.79
F	11850699.6	11983730.92	14324882.75	12302247.66	12194887.04	2749839.82	5642966.58	1899358.73	4536663.58	8793662.25	7573601.38	1914635.93	3832186.81
G	9285586.58	8404883.13	11968639.63	9363849.96	8271486.87	3643785.32	8995823.85	3187760.73	6026903.16	9575272.2	6525713.64	1836305.77	5415489.93
H	9108046.33	9122877.15	9649148.47	9448262.49	7311882.39	7688919.69	7189336.38	3434039.58	6844239.24	8739082.92	7287072.98	2265945.83	7184494.03
I	10991730.38	8498914.3	8019203.58	7126644.37	3906723.23	5631542.58	7447239.37	3290654.65	7331076.54	9847760.95	7027738.53	3043661.95	6793156.77
J	11089432.43	7346050.09	7567014.83	5978126.37	3244677.62	3372316.78	4927151.1	2562602.28	5994884.73	9167974.88	7857363.95	6819752.09	7226422.91
K	9364202.41	7829284.82	7958746.53	6627794.31	8096488.09	8490130.54	6105972.53	5158982.76	6873484.94	8239498.42	7523144.28	6249821.1	7475525.38
L	12191795.83	10130733.26	6846963.61	5093462.61	6088616.12	7764324.66	10791652.73	10940405.12	17164210.01	11222678.07	14191808.64	8008112.79	1179244.98
M	16782668.07	18490143.9	11039732.18	12334154.97	16715445.12	12335067.05	9330469.97	5396882.01	6979356.0	11833393.04	10037774.38	4305863.57	9059082.4
N	8111989.61	7809455.9	5792944.86	4322586.55	4499117.87	7915398.67	7453993.08	7581977.47	8972418.1	9836827.4	12523000.92	4259122.95	1126515.53
O	6838046.87	6377344.88	5204450.88	4719955.05	5063398.52	5332527.98	5815815.92	8468839.65	6081928.46	9047250.96	10200933.89	4210639.06	6132668.79
P	6756659.71	6221096.78	4873182.97	5701336.69	6909375.6	4812529.44	6531293.22	11310103.19	5313314.85	9585080.95	12086790.41	3783133.15	480605.93
Q	6725778.14	6298207.51	4619318.46	5759490.07	11139802.13	8913437.4	6377460.38	14238942.11	5491854.92	7468209.8	8175833.27	1620344.13	639954.39
R	6862634.23	6072802.34	5282725.69	7024917.94	7901524.68	12614666.62	7478158.56	10244035.3	5861630.26	8130645.14	8535097.89	1681161.6	5526518.37
S	8336708.48	6550634.85	8540715.49	8012896.25	7247301.07	7992326.82	8232415.31	4294097.78	6194813.9	9529920.62	7822188.99	1826702.16	2021345.74
T	9328307.62	8097592.93	11115778.05	10887514.19	4604683.88	7058443.12	8740058.95	3660387.99	6592478.57	11275861.32	8070526.24	7719811.72	7892218.27
U	10264041.42	10035338.74	8650332.15	10669568.1	5500090.46	7743301.55	8594823.43	7231353.31	7296314.87	11759816.65	10013976.5	8683471.12	8195695.51
V	9801793.54	8900949.07	8537571.57	8869880.48	4831867.17	8457428.1	7192715.59	3753106.9	6205070.23	10428075.18	8761169.5	16046703.22	10434012.95
W	10373817.89	10330220.79	10649444.88	9814646.5	3128719.49	3869200.16	4304758.86	3348005.9	7005885.54	8500041.94	7361799.02	13312154.1	696223.47
X	10787600.01	10099318.09	10695849.75	12893059.82	4309457.95	2804070.0	6711726.91	8057930.88	7514282.51	11336765.88	10369191.31	14438302.09	546686.33
